# NOTARIUS confusables (ASCII-target subset) — look-alikes that masquerade as ASCII.
# PROVENANCE: derived from UTS#39 confusables.txt, Unicode 17.0.0.
# The source data was read out of the sibling project rus1978rus/msl_mip
# (tools/sources/17.0.0/confusables.txt); msl_mip itself was NOT modified (AD-80).
# Original: https://www.unicode.org/Public/security/latest/confusables.txt
# Data license: Unicode License (permits redistribution with attribution).
# Selected entries whose prototype is PURELY printable ASCII (our case: masquerading
# as Latin letters/digits/punctuation). Format: SRC_HEX;TARGET_HEX[ TARGET_HEX...]
00A0;0020
00B4;0027
00B8;002C
00C6;0041 0045
00D7;0078
00E6;0061 0065
00FE;0070
0131;0069
0132;006C 004A
0133;0069 006A
0149;0027 006E
0152;004F 0045
0153;006F 0065
017F;0066
0181;0027 0042
0184;0062
0187;0043 0027
018A;0027 0044
018D;0067
0192;0066
0193;0047 0027
0196;006C
0198;004B 0027
01A0;004F 0027
01A1;006F 0027
01A4;0027 0050
01A6;0052
01A7;0032
01AC;0027 0054
01B3;0027 0059
01B7;0033
01BC;0035
01BD;0073
01BF;0070
01C0;006C
01C1;006C 006C
01C3;0021
01C7;004C 004A
01C8;004C 006A
01C9;006C 006A
01CA;004E 004A
01CB;004E 006A
01CC;006E 006A
01F1;0044 005A
01F2;0044 007A
01F3;0064 007A
021C;0033
0222;0038
0223;0038
0241;003F
0251;0061
0261;0067
0263;0079
0269;0069
026A;0069
026F;0077
028B;0075
028F;0079
0294;003F
02A3;0064 007A
02A6;0074 0073
02AA;006C 0073
02AB;006C 007A
02B9;0027
02BA;0027 0027
02BB;0027
02BC;0027
02BD;0027
02BE;0027
02C2;003C
02C3;003E
02C4;005E
02C6;005E
02C8;0027
02CA;0027
02CB;0027
02D0;003A
02D7;002D
02DB;0069
02DC;007E
02DD;0027 0027
02EE;0027 0027
02F4;0027
02F6;0027 0027
02F8;003A
0374;0027
037A;0069
037E;003B
037F;004A
0384;0027
0391;0041
0392;0042
0395;0045
0396;005A
0397;0048
0399;006C
039A;004B
039C;004D
039D;004E
039F;004F
03A1;0050
03A4;0054
03A5;0059
03A7;0058
03B1;0061
03B3;0079
03B9;0069
03BD;0076
03BF;006F
03C1;0070
03C3;006F
03C5;0075
03D2;0059
03DC;0046
03E8;0032
03EC;0036
03ED;006F
03F1;0070
03F2;0063
03F3;006A
03F8;0070
03F9;0043
03FA;004D
0405;0053
0406;006C
0408;004A
0410;0041
0412;0042
0415;0045
0417;0033
041A;004B
041C;004D
041D;0048
041E;004F
0420;0050
0421;0043
0422;0054
0423;0059
0425;0058
042B;0062 006C
042C;0062
042E;006C 004F
0430;0061
0431;0036
0433;0072
0435;0065
043E;006F
0440;0070
0441;0063
0443;0079
0445;0078
0448;0077
0455;0073
0456;0069
0458;006A
0461;0077
0474;0056
0475;0076
0491;0072 0027
04AE;0059
04AF;0079
04BB;0068
04BD;0065
04C0;006C
04CF;006C
04D4;0041 0045
04D5;0061 0065
04E0;0033
0501;0064
050C;0047
051B;0071
051C;0057
051D;0077
054D;0055
054F;0053
0555;004F
055A;0027
055D;0027
0561;0077
0563;0071
0566;0071
0570;0068
0578;006E
057C;006E
057D;0075
0581;0067
0582;0069
0584;0066
0585;006F
0589;003A
05C0;006C
05C3;003A
05D5;006C
05D8;0076
05D9;0027
05DF;006C
05E1;006F
05F0;006C 006C
05F1;006C 0027
05F2;0027 0027
05F3;0027
05F4;0027 0027
060D;002C
0627;006C
0647;006F
0660;002E
0661;006C
0665;006F
0667;0056
066B;002C
066D;002A
06BE;006F
06C1;006F
06D4;002D
06D5;006F
06F0;002E
06F1;006C
06F5;006F
06F7;0056
0701;002E
0702;002E
0703;003A
0704;003A
07C0;004F
07CA;006C
07F4;0027
07F5;0027
07FA;005F
0903;003A
0966;006F
0969;0033
097D;003F
09E6;006F
09EA;0038
09ED;0039
0A66;006F
0A67;0039
0A6A;0038
0A83;003A
0AE6;006F
0AE9;0033
0B03;0038
0B20;004F
0B66;006F
0B68;0039
0BE6;006F
0C02;006F
0C66;006F
0C82;006F
0CE6;004F
0D02;006F
0D1F;0073
0D20;006F
0D66;006F
0D6D;0039
0D82;006F
0E50;006F
0ED0;006F
1004;0063
101D;006F
1040;006F
105A;0063
10E7;0079
10FF;006F
1200;0055
12D0;004F
13A0;0044
13A1;0052
13A2;0054
13A4;004F 0027
13A5;0069
13A9;0059
13AA;0041
13AB;004A
13AC;0045
13AE;003F
13B3;0057
13B7;004D
13BB;0048
13BD;0059
13C0;0047
13C2;0068
13C3;005A
13CE;0034
13CF;0062
13D2;0052
13D4;0057
13D5;0053
13D9;0056
13DA;0053
13DE;004C
13DF;0043
13E2;0050
13E6;004B
13E7;0064
13EE;0036
13F3;0047
13F4;0042
1400;003D
142F;0056
1433;003E
1438;003C
144A;0027
144C;0055
1467;0055 0027
146D;0050
146F;0064
1472;0062
1486;0050 0027
1487;0064 0027
1488;0062 0027
148D;004A
14AA;004C
14BF;0032
1541;0078
157C;0048
157D;0078
1587;0052
15AF;0062
15B4;0046
15C5;0041
15DE;0044
15EA;0044
15F0;004D
15F7;0042
166D;0058
166E;0078
1680;0020
16B2;003C
16B7;0058
16C1;006C
16CC;0027
16D5;004B
16D6;004D
16EC;003A
16ED;002B
1735;002F
17E0;006F
1803;003A
1809;003A
1CD3;0027 0027
1D04;0063
1D0F;006F
1D11;006F
1D1C;0075
1D20;0076
1D21;0077
1D22;007A
1D26;0072
1D6B;0075 0065
1D83;0067
1D8C;0079
1E9D;0066
1EFF;0079
1FBD;0027
1FBE;0069
1FBF;0027
1FC0;007E
1FEF;0027
1FFD;0027
1FFE;0027
2000;0020
2001;0020
2002;0020
2003;0020
2004;0020
2005;0020
2006;0020
2007;0020
2008;0020
2009;0020
200A;0020
2010;002D
2011;002D
2012;002D
2013;002D
2016;006C 006C
2018;0027
2019;0027
201A;002C
201B;0027
201C;0027 0027
201D;0027 0027
201F;0027 0027
2024;002E
2025;002E 002E
2026;002E 002E 002E
2028;0020
2029;0020
202F;0020
2032;0027
2033;0027 0027
2034;0027 0027 0027
2035;0027
2036;0027 0027
2037;0027 0027 0027
2039;003C
203A;003E
203C;0021 0021
2041;002F
2043;002D
2044;002F
2047;003F 003F
2048;003F 0021
2049;0021 003F
204E;002A
2053;007E
2057;0027 0027 0027 0027
205A;003A
205F;0020
20A8;0052 0073
20B6;006C 0074
2100;0061 002F 0063
2101;0061 002F 0073
2102;0043
2105;0063 002F 006F
2106;0063 002F 0075
210A;0067
210B;0048
210C;0048
210D;0048
210E;0068
2110;006C
2111;006C
2112;004C
2113;006C
2115;004E
2116;004E 006F
2119;0050
211A;0051
211B;0052
211C;0052
211D;0052
2121;0054 0045 004C
2124;005A
2128;005A
212A;004B
212C;0042
212D;0043
212E;0065
212F;0065
2130;0045
2131;0046
2133;004D
2134;006F
2139;0069
213B;0046 0041 0058
213D;0079
2145;0044
2146;0064
2147;0065
2148;0069
2149;006A
2160;006C
2161;006C 006C
2162;006C 006C 006C
2163;006C 0056
2164;0056
2165;0056 006C
2166;0056 006C 006C
2167;0056 006C 006C 006C
2168;006C 0058
2169;0058
216A;0058 006C
216B;0058 006C 006C
216C;004C
216D;0043
216E;0044
216F;004D
2170;0069
2171;0069 0069
2172;0069 0069 0069
2173;0069 0076
2174;0076
2175;0076 0069
2176;0076 0069 0069
2177;0076 0069 0069 0069
2178;0069 0078
2179;0078
217A;0078 0069
217B;0078 0069 0069
217C;006C
217D;0063
217E;0064
217F;0072 006E
2212;002D
2215;002F
2216;005C
2217;002A
221E;006F 006F
2223;006C
2225;006C 006C
2228;0076
222A;0055
2236;003A
223C;007E
226A;003C 003C
226B;003E 003E
22A4;0054
22C1;0076
22C3;0055
22D8;003C 003C 003C
22D9;003E 003E 003E
22FF;0045
2373;0069
2374;0070
237A;0061
